Item,Smu1_V(1)(1),Smu1_I(1)(1),Smu1_R(1)(1),
1,0.1,0.0217527747154236,4.59711468114898,
2,0.09,0.0195845142006874,4.59546757595044,
3,0.08,0.0174232125282288,4.59157574244047,
4,0.07,0.0152619024738669,4.58658415095113,
5,0.06,0.0131040662527084,4.57873142907827,
6,0.05,0.010948327369988,4.56690764810908,
7,0.04,0.00878701359033585,4.55217231528956,
8,0.03,0.00662292959168553,4.52971748901909,
9,0.02,0.00446370197460055,4.480585871056,
10,0.01,0.00228711264207959,4.37232509497536,
11,0,0.000140389194712043,0,
12,-0.01,-0.00202719145454466,4.93293318575386,
13,-0.02,-0.00418447842821479,4.77956819305018,
14,-0.03,-0.00634523574262857,4.72795672483119,
15,-0.04,-0.00851294212043285,4.69872805830449,
16,-0.05,-0.0106771774590015,4.68288554648371,
17,-0.06,-0.0128414062783122,4.67238546149994,
18,-0.07,-0.0149987032637,4.66707013061687,
19,-0.08,-0.017158767208457,4.66233960913991,
20,-0.09,-0.0193327274173498,4.65531831371248,
21,-0.1,-0.0214858502149582,4.65422587421657,
22,-0.09,-0.0193195380270481,4.65849648547478,
23,-0.08,-0.0171532053500414,4.66385135416145,
24,-0.07,-0.0149910608306527,4.66944939992964,
25,-0.06,-0.0128296045586467,4.67668350382337,
26,-0.05,-0.0106744030490518,4.684102686608,
27,-0.04,-0.00851085595786572,4.69987980034277,
28,-0.03,-0.00635079620406032,4.72381714608002,
29,-0.02,-0.00418934132903814,4.77402016908274,
30,-0.01,-0.00202788598835468,4.93124369783405,
31,0,0.000138305011205375,0,
32,0.01,0.00229475181549788,4.35776973024439,
33,0.02,0.0044567515142262,4.48757350194618,
34,0.03,0.00661875354126096,4.53257547859753,
35,0.04,0.00878631882369518,4.55253227234674,
36,0.05,0.0109469350427389,4.56748850749461,
37,0.06,0.0131131028756499,4.57557609125569,
38,0.07,0.01526955422014,4.58428576177244,
39,0.08,0.0174301620572805,4.58974504867464,
40,0.09,0.0195879936218262,4.59465128167677,
41,0.1,0.0217465162277222,4.59843769700093,
