Item,Smu1_V(1)(1),Smu1_I(1)(1),Smu1_R(1)(1),
1,0.1,0.0163897629827261,6.10136950152327,
2,0.09,0.0147688491269946,6.09390746876121,
3,0.08,0.0131389098241925,6.08878522422743,
4,0.07,0.0115027148276567,6.08551990106669,
5,0.06,0.00987762678414583,6.07433357335423,
6,0.05,0.00824281852692366,6.06588630292953,
7,0.04,0.00660731596872211,6.05389543792867,
8,0.03,0.00497807189822197,6.02642963246778,
9,0.02,0.00334256654605269,5.98342612613604,
10,0.01,0.0017174823442474,5.82247615732084,
11,0,8.2674901932478E-05,0,
12,-0.01,-0.00156255066394806,6.39979248719734,
13,-0.02,-0.00318842940032482,6.27268083714273,
14,-0.03,-0.00481709744781256,6.22781671432098,
15,-0.04,-0.00645548850297928,6.19627778463854,
16,-0.05,-0.00807721633464098,6.19025143421795,
17,-0.06,-0.0097169978544116,6.17474665518831,
18,-0.07,-0.0113477483391762,6.16862463880494,
19,-0.08,-0.0129771130159497,6.16469933656852,
20,-0.09,-0.0146245304495096,6.15404373567548,
21,-0.1,-0.016255971044302,6.15158576054746,
22,-0.09,-0.0146092362701893,6.16048630712123,
23,-0.08,-0.0129805756732821,6.16305486086134,
24,-0.07,-0.0113533036783338,6.16560623966974,
25,-0.06,-0.009723249822855,6.17077634465042,
26,-0.05,-0.00808068737387657,6.18759242705529,
27,-0.04,-0.00644715456292033,6.20428742782947,
28,-0.03,-0.00481501268222928,6.23051318446589,
29,-0.02,-0.00318148359656334,6.28637533181191,
30,-0.01,-0.00155491149052978,6.43123422838228,
31,0,8.47573392093182E-05,0,
32,0.01,0.00170706619974226,5.85800363308105,
33,0.02,0.00333215203136206,6.00212709737159,
34,0.03,0.004977370146662,6.02727928926867,
35,0.04,0.00661217654123902,6.04944525460365,
36,0.05,0.00824143458157778,6.06690491868562,
37,0.06,0.0098706865683198,6.0786045210443,
38,0.07,0.0114999460056424,6.08698510111741,
39,0.08,0.0131354471668601,6.09039029914679,
40,0.09,0.0147695569321513,6.09361542891529,
41,0.1,0.0164001882076263,6.09749100034708,
