Item,Smu1_V(1)(1),Smu1_I(1)(1),Smu1_R(1)(1),
1,0.1,0.018683360889554,5.35235606650999,
2,0.09,0.0168422665446997,5.34369882825084,
3,0.08,0.0149928284808993,5.33588442647223,
4,0.07,0.0131315812468529,5.3306603891878,
5,0.06,0.0112738031893969,5.32207268408151,
6,0.05,0.00942367315292358,5.30578673396457,
7,0.04,0.00757075427100062,5.28348940781474,
8,0.03,0.00571298133581877,5.2511986713327,
9,0.02,0.00385937513783574,5.18218604973851,
10,0.01,0.00201965728774667,4.95133509069601,
11,0,0.000153550296090543,0,
12,-0.01,-0.0016938071930781,5.90385968418715,
13,-0.02,-0.00354128843173385,5.64766196980115,
14,-0.03,-0.00540266185998917,5.55281836573429,
15,-0.04,-0.00725917425006628,5.51026860935798,
16,-0.05,-0.00911151710897684,5.4875603482914,
17,-0.06,-0.0109687261283398,5.47009737484271,
18,-0.07,-0.012821763753891,5.4594673044695,
19,-0.08,-0.0146755008026958,5.45126200976424,
20,-0.09,-0.0165285430848598,5.44512601854425,
21,-0.1,-0.0184003319591284,5.43468456015491,
22,-0.09,-0.0165334045886993,5.44352492659107,
23,-0.08,-0.0146768819540739,5.45074902491766,
24,-0.07,-0.0128162121400237,5.46183218841995,
25,-0.06,-0.010968029499054,5.47044480553004,
26,-0.05,-0.00911985617130995,5.48254260382904,
27,-0.04,-0.00725778378546238,5.51132428057743,
28,-0.03,-0.00539849465712905,5.55710469406191,
29,-0.02,-0.00355934677645564,5.61900855861979,
30,-0.01,-0.00169936311431229,5.88455752380318,
31,0,0.000157022732309997,0,
32,0.01,0.00200854660943151,4.97872439357052,
33,0.02,0.00386562710627913,5.17380477995743,
34,0.03,0.0057178414426744,5.24673520606898,
35,0.04,0.00757422624155879,5.28106749446237,
36,0.05,0.00941950920969248,5.30813218469504,
37,0.06,0.0112744942307472,5.32174648121874,
38,0.07,0.0131378276273608,5.32812592655867,
39,0.08,0.0149782439693809,5.34108004673574,
40,0.09,0.0168478284031153,5.34193474948726,
41,0.1,0.0186965614557266,5.34857707588636,
